RC[CLU_2550]		17	Dist (km)
>	L[THC1]	138	25.00
>	L[THC1] tel	6
RC[CLU_3523]		997	Dist (km)
>	L[3122307269161]	750	2.55
>	L[3122307269161] tel	37
>	L[SHC1]	149	20.00
>	L[SHC1] tel	7
>	L[THC1]	49	25.00
>	L[THC1] tel	2
RC[CLU_3524]		2822	Dist (km)
>	L[3122307269161]	2123	2.96
>	L[3122307269161] tel	106
>	L[SHC1]	423	20.00
>	L[SHC1] tel	21
>	L[THC1]	141	25.00
>	L[THC1] tel	7
RC[CLU_3525]		2591	Dist (km)
>	L[3122302159511]	2046	0.00
>	L[SHC1]	388	20.00
>	L[SHC1] tel	19
>	L[THC1]	129	25.00
>	L[THC1] tel	6
RC[CLU_3526]		2828	Dist (km)
>	L[3122302159503]	1218	0.83
>	L[3122307269161]	909	1.40
>	L[3122302159503] tel	60
>	L[3122307269161] tel	45
>	L[SHC1]	424	20.00
>	L[SHC1] tel	21
>	L[THC1]	141	25.00
>	L[THC1] tel	7
RC[CLU_3527]		2131	Dist (km)
>	L[3122302159538]	1407	2.06
>	L[3122304194500]	195	0.93
>	L[3122302159538] tel	70
>	L[3122304194500] tel	9
>	L[SHC1]	319	20.00
>	L[SHC1] tel	15
>	L[THC1]	106	25.00
>	L[THC1] tel	5
RC[CLU_3528]		1974	Dist (km)
>	L[3122302159546]	1485	0.66
>	L[3122302159546] tel	74
>	L[SHC1]	296	20.00
>	L[SHC1] tel	14
>	L[THC1]	98	25.00
>	L[THC1] tel	4
RC[CLU_3529]		1786	Dist (km)
>	L[3122302701804]	1343	0.69
>	L[3122302701804] tel	67
>	L[SHC1]	267	20.00
>	L[SHC1] tel	13
>	L[THC1]	89	25.00
>	L[THC1] tel	4
RC[CLU_3530]		2634	Dist (km)
>	L[3122307269161]	242	1.02
>	L[3122302159546]	657	1.02
>	L[3122307676875]	812	1.07
>	L[3122302701804]	269	1.09
>	L[3122307269161] tel	12
>	L[3122302159546] tel	32
>	L[3122307676875] tel	40
>	L[3122302701804] tel	13
>	L[SHC1]	395	20.00
>	L[SHC1] tel	19
>	L[THC1]	131	25.00
>	L[THC1] tel	6
RC[CLU_3531]		2913	Dist (km)
>	L[3122306942822]	2191	1.48
>	L[3122306942822] tel	109
>	L[SHC1]	436	20.00
>	L[SHC1] tel	21
>	L[THC1]	145	25.00
>	L[THC1] tel	7
RC[CLU_3532]		2691	Dist (km)
>	L[3122300273600]	1310	0.89
>	L[3122306942822]	750	0.00
>	L[3122300273600] tel	65
>	L[SHC1]	403	20.00
>	L[SHC1] tel	20
>	L[THC1]	134	25.00
>	L[THC1] tel	6
RC[CLU_3533]		870	Dist (km)
>	L[3122302159597]	654	1.67
>	L[3122302159597] tel	32
>	L[SHC1]	130	20.00
>	L[SHC1] tel	6
>	L[THC1]	43	25.00
>	L[THC1] tel	2
RC[CLU_3534]		1541	Dist (km)
>	L[3122302159503]	1159	0.83
>	L[3122302159503] tel	57
>	L[SHC1]	231	20.00
>	L[SHC1] tel	11
>	L[THC1]	77	25.00
>	L[THC1] tel	3
RC[CLU_3535]		2825	Dist (km)
>	L[3122302159694]	305	1.84
>	L[3122302159503]	1251	0.46
>	L[3122306942822]	569	1.40
>	L[3122302159694] tel	15
>	L[3122302159503] tel	62
>	L[3122306942822] tel	28
>	L[SHC1]	423	20.00
>	L[SHC1] tel	21
>	L[THC1]	141	25.00
>	L[THC1] tel	7
RC[CLU_3536]		2560	Dist (km)
>	L[3122302159503]	2022	0.00
>	L[SHC1]	384	20.00
>	L[SHC1] tel	19
>	L[THC1]	128	25.00
>	L[THC1] tel	6
RC[CLU_3537]		2115	Dist (km)
>	L[3122302159597]	1591	1.12
>	L[3122302159597] tel	79
>	L[SHC1]	317	20.00
>	L[SHC1] tel	15
>	L[THC1]	105	25.00
>	L[THC1] tel	5
RC[CLU_3538]		1275	Dist (km)
>	L[3122302159503]	959	2.87
>	L[3122302159503] tel	47
>	L[SHC1]	191	20.00
>	L[SHC1] tel	9
>	L[THC1]	63	25.00
>	L[THC1] tel	3
RC[CLU_3539]		2904	Dist (km)
>	L[3122302159406]	2184	1.62
>	L[3122302159406] tel	109
>	L[SHC1]	435	20.00
>	L[SHC1] tel	21
>	L[THC1]	145	25.00
>	L[THC1] tel	7
RC[CLU_3540]		2754	Dist (km)
>	L[3122302159856]	700	1.64
>	L[3122302159449]	1371	4.16
>	L[3122302159856] tel	35
>	L[3122302159449] tel	68
>	L[SHC1]	413	20.00
>	L[SHC1] tel	20
>	L[THC1]	137	25.00
>	L[THC1] tel	6
RC[CLU_3541]		2613	Dist (km)
>	L[3122302159597]	1965	1.37
>	L[3122302159597] tel	98
>	L[SHC1]	391	20.00
>	L[SHC1] tel	19
>	L[THC1]	130	25.00
>	L[THC1] tel	6
RC[CLU_3542]		2966	Dist (km)
>	L[3122302159597]	619	0.93
>	L[3122302159856]	1611	2.07
>	L[3122302159597] tel	30
>	L[3122302159856] tel	80
>	L[SHC1]	444	20.00
>	L[SHC1] tel	22
>	L[THC1]	148	25.00
>	L[THC1] tel	7
RC[CLU_3543]		1388	Dist (km)
>	L[3122302159597]	268	2.61
>	L[3122302159856]	775	3.64
>	L[3122302159597] tel	13
>	L[3122302159856] tel	38
>	L[SHC1]	208	20.00
>	L[SHC1] tel	10
>	L[THC1]	69	25.00
>	L[THC1] tel	3
RC[CLU_3544]		2921	Dist (km)
>	L[3122302159473]	1226	0.00
>	L[3122302159856]	1029	3.90
>	L[3122302159856] tel	51
>	L[SHC1]	438	20.00
>	L[SHC1] tel	21
>	L[THC1]	146	25.00
>	L[THC1] tel	7
RC[CLU_3545]		2600	Dist (km)
>	L[3122302159473]	1956	1.28
>	L[3122302159473] tel	97
>	L[SHC1]	390	20.00
>	L[SHC1] tel	19
>	L[THC1]	130	25.00
>	L[THC1] tel	6
RC[CLU_3546]		2258	Dist (km)
>	L[3122302159678]	334	0.64
>	L[3122302159589]	1364	1.27
>	L[3122302159678] tel	16
>	L[3122302159589] tel	68
>	L[SHC1]	338	20.00
>	L[SHC1] tel	16
>	L[THC1]	112	25.00
>	L[THC1] tel	5
RC[CLU_3547]		2376	Dist (km)
>	L[3122302159422]	665	0.43
>	L[3122302159414]	1178	0.00
>	L[3122302159422] tel	33
>	L[SHC1]	356	20.00
>	L[SHC1] tel	17
>	L[THC1]	118	25.00
>	L[THC1] tel	5
RC[CLU_3548]		2955	Dist (km)
>	L[3122304445651]	2190	1.21
>	L[3122302159554]	32	1.34
>	L[3122304445651] tel	109
>	L[3122302159554] tel	1
>	L[SHC1]	443	20.00
>	L[SHC1] tel	22
>	L[THC1]	147	25.00
>	L[THC1] tel	7
RC[CLU_3549]		1902	Dist (km)
>	L[3122306026028]	1502	0.00
>	L[SHC1]	285	20.00
>	L[SHC1] tel	14
>	L[THC1]	95	25.00
>	L[THC1] tel	4
RC[CLU_3550]		1401	Dist (km)
>	L[3122304194500]	1106	0.00
>	L[SHC1]	210	20.00
>	L[SHC1] tel	10
>	L[THC1]	70	25.00
>	L[THC1] tel	3
RC[CLU_3551]		1788	Dist (km)
>	L[3122302159473]	635	2.63
>	L[3122306017940]	709	0.91
>	L[3122302159473] tel	31
>	L[3122306017940] tel	35
>	L[SHC1]	268	20.00
>	L[SHC1] tel	13
>	L[THC1]	89	25.00
>	L[THC1] tel	4
RC[CLU_3552]		751	Dist (km)
>	L[3122302159678]	242	0.85
>	L[3122302159414]	322	3.79
>	L[3122302159678] tel	12
>	L[3122302159414] tel	16
>	L[SHC1]	112	20.00
>	L[SHC1] tel	5
>	L[THC1]	37	25.00
>	L[THC1] tel	1
RC[CLU_3553]		2789	Dist (km)
>	L[3122302159597]	2098	2.40
>	L[3122302159597] tel	104
>	L[SHC1]	418	20.00
>	L[SHC1] tel	20
>	L[THC1]	139	25.00
>	L[THC1] tel	6
RC[CLU_3554]		268	Dist (km)
>	L[3122307488882]	201	1.63
>	L[3122307488882] tel	10
>	L[SHC1]	40	20.00
>	L[SHC1] tel	2
>	L[THC1]	13	25.00
>	L[THC1] tel	0
RC[CLU_3555]		2938	Dist (km)
>	L[3122302159694]	1637	1.99
>	L[3122302159511]	573	1.67
>	L[3122302159694] tel	81
>	L[3122302159511] tel	28
>	L[SHC1]	440	20.00
>	L[SHC1] tel	22
>	L[THC1]	146	25.00
>	L[THC1] tel	7
RC[CLU_3556]		2027	Dist (km)
>	L[3122307676875]	192	1.30
>	L[3122304384881]	1332	0.97
>	L[3122307676875] tel	9
>	L[3122304384881] tel	66
>	L[SHC1]	304	20.00
>	L[SHC1] tel	15
>	L[THC1]	101	25.00
>	L[THC1] tel	5
RC[CLU_3557]		2976	Dist (km)
>	L[3122306942822]	2239	0.82
>	L[3122306942822] tel	111
>	L[SHC1]	446	20.00
>	L[SHC1] tel	22
>	L[THC1]	148	25.00
>	L[THC1] tel	7
RC[CLU_3558]		2612	Dist (km)
>	L[3122302159503]	1965	0.55
>	L[3122302159503] tel	98
>	L[SHC1]	391	20.00
>	L[SHC1] tel	19
>	L[THC1]	130	25.00
>	L[THC1] tel	6
RC[CLU_3559]		1989	Dist (km)
>	L[3122302159597]	1496	0.92
>	L[3122302159597] tel	74
>	L[SHC1]	298	20.00
>	L[SHC1] tel	14
>	L[THC1]	99	25.00
>	L[THC1] tel	4
RC[CLU_3560]		2757	Dist (km)
>	L[3122302159406]	2178	0.00
>	L[SHC1]	413	20.00
>	L[SHC1] tel	20
>	L[THC1]	137	25.00
>	L[THC1] tel	6
RC[CLU_3561]		2566	Dist (km)
>	L[3122302159473]	1930	1.04
>	L[3122302159473] tel	96
>	L[SHC1]	384	20.00
>	L[SHC1] tel	19
>	L[THC1]	128	25.00
>	L[THC1] tel	6
RC[CLU_3562]		2114	Dist (km)
>	L[3122302159422]	198	2.08
>	L[3122302159414]	1391	1.69
>	L[3122302159422] tel	9
>	L[3122302159414] tel	69
>	L[SHC1]	317	20.00
>	L[SHC1] tel	15
>	L[THC1]	105	25.00
>	L[THC1] tel	5
RC[CLU_3563]		933	Dist (km)
>	L[3122306026028]	701	1.13
>	L[3122306026028] tel	35
>	L[SHC1]	139	20.00
>	L[SHC1] tel	6
>	L[THC1]	46	25.00
>	L[THC1] tel	2
RC[CLU_3564]		2791	Dist (km)
>	L[3122302159511]	2099	0.92
>	L[3122302159511] tel	104
>	L[SHC1]	418	20.00
>	L[SHC1] tel	20
>	L[THC1]	139	25.00
>	L[THC1] tel	6
RC[CLU_3565]		380	Dist (km)
>	L[CLU_3565]	380	0.00
RC[CLU_3566]		2209	Dist (km)
>	L[3122306942849]	1745	0.00
>	L[SHC1]	331	20.00
>	L[SHC1] tel	16
>	L[THC1]	110	25.00
>	L[THC1] tel	5
RC[CLU_3567]		1558	Dist (km)
>	L[3122307269161]	1172	1.41
>	L[3122307269161] tel	58
>	L[SHC1]	233	20.00
>	L[SHC1] tel	11
>	L[THC1]	77	25.00
>	L[THC1] tel	3
RC[CLU_3568]		2708	Dist (km)
>	L[3122302159554]	2037	1.73
>	L[3122302159554] tel	101
>	L[SHC1]	406	20.00
>	L[SHC1] tel	20
>	L[THC1]	135	25.00
>	L[THC1] tel	6
RC[CLU_3569]		2065	Dist (km)
>	L[3122306026028]	904	1.03
>	L[3122303747719]	648	1.17
>	L[3122306026028] tel	45
>	L[3122303747719] tel	32
>	L[SHC1]	309	20.00
>	L[SHC1] tel	15
>	L[THC1]	103	25.00
>	L[THC1] tel	5
RC[CLU_3570]		2962	Dist (km)
>	L[3122307269161]	2228	2.89
>	L[3122307269161] tel	111
>	L[SHC1]	444	20.00
>	L[SHC1] tel	22
>	L[THC1]	148	25.00
>	L[THC1] tel	7
RC[CLU_3571]		1833	Dist (km)
>	L[3122302159538]	1379	1.18
>	L[3122302159538] tel	68
>	L[SHC1]	274	20.00
>	L[SHC1] tel	13
>	L[THC1]	91	25.00
>	L[THC1] tel	4
RC[CLU_3572]		2026	Dist (km)
>	L[3122304384881]	1600	0.00
>	L[SHC1]	303	20.00
>	L[SHC1] tel	15
>	L[THC1]	101	25.00
>	L[THC1] tel	5
RC[CLU_3573]		1502	Dist (km)
>	L[3122302159457]	1186	0.00
>	L[SHC1]	225	20.00
>	L[SHC1] tel	11
>	L[THC1]	75	25.00
>	L[THC1] tel	3
RC[CLU_3574]		2173	Dist (km)
>	L[3122302159414]	306	1.29
>	L[3122302159554]	1328	1.97
>	L[3122302159414] tel	15
>	L[3122302159554] tel	66
>	L[SHC1]	325	20.00
>	L[SHC1] tel	16
>	L[THC1]	108	25.00
>	L[THC1] tel	5
RC[CLU_3575]		2296	Dist (km)
>	L[3122302159538]	0	4.10
>	L[3122304445651]	408	0.00
>	L[3122306026028]	564	3.34
>	L[3122302159554]	773	2.00
>	L[3122302159538] tel	0
>	L[3122306026028] tel	28
>	L[3122302159554] tel	38
>	L[SHC1]	344	20.00
>	L[SHC1] tel	17
>	L[THC1]	114	25.00
>	L[THC1] tel	5
RC[CLU_3576]		2982	Dist (km)
>	L[3122302159473]	1432	4.66
>	L[3122302206323]	810	1.96
>	L[3122302159473] tel	71
>	L[3122302206323] tel	40
>	L[SHC1]	447	20.00
>	L[SHC1] tel	22
>	L[THC1]	149	25.00
>	L[THC1] tel	7
RC[CLU_3577]		2450	Dist (km)
>	L[3122302159406]	1843	0.85
>	L[3122302159406] tel	92
>	L[SHC1]	367	20.00
>	L[SHC1] tel	18
>	L[THC1]	122	25.00
>	L[THC1] tel	6
RC[CLU_3578]		1201	Dist (km)
>	L[3122304207866]	948	0.00
>	L[SHC1]	180	20.00
>	L[SHC1] tel	9
>	L[THC1]	60	25.00
>	L[THC1] tel	3
RC[CLU_3579]		2745	Dist (km)
>	L[3122302206323]	2065	1.04
>	L[3122302206323] tel	103
>	L[SHC1]	411	20.00
>	L[SHC1] tel	20
>	L[THC1]	137	25.00
>	L[THC1] tel	6
RC[CLU_3580]		130	Dist (km)
>	L[3122302159562]	97	4.16
>	L[3122302159562] tel	4
>	L[SHC1]	19	20.00
>	L[SHC1] tel	0
>	L[THC1]	6	25.00
>	L[THC1] tel	0
RC[CLU_3581]		2954	Dist (km)
>	L[3122302159473]	1100	1.10
>	L[3122307488882]	1121	1.62
>	L[3122302159473] tel	55
>	L[3122307488882] tel	56
>	L[SHC1]	443	20.00
>	L[SHC1] tel	22
>	L[THC1]	147	25.00
>	L[THC1] tel	7
RC[CLU_3582]		1547	Dist (km)
>	L[3122306026028]	683	1.69
>	L[3122306942849]	480	0.66
>	L[3122306026028] tel	34
>	L[3122306942849] tel	24
>	L[SHC1]	232	20.00
>	L[SHC1] tel	11
>	L[THC1]	77	25.00
>	L[THC1] tel	3
RC[CLU_3583]		2798	Dist (km)
>	L[3122307269161]	1145	1.56
>	L[3122302701804]	1007	0.00
>	L[3122307269161] tel	57
>	L[SHC1]	419	20.00
>	L[SHC1] tel	20
>	L[THC1]	139	25.00
>	L[THC1] tel	6
RC[CLU_3584]		2603	Dist (km)
>	L[3122300273600]	485	0.64
>	L[3122302159457]	590	0.64
>	L[3122302159856]	882	2.88
>	L[3122300273600] tel	24
>	L[3122302159457] tel	29
>	L[3122302159856] tel	44
>	L[SHC1]	390	20.00
>	L[SHC1] tel	19
>	L[THC1]	130	25.00
>	L[THC1] tel	6
RC[CLU_3585]		2773	Dist (km)
>	L[3122304207866]	1236	4.43
>	L[3122302159449]	850	3.58
>	L[3122304207866] tel	61
>	L[3122302159449] tel	42
>	L[SHC1]	415	20.00
>	L[SHC1] tel	20
>	L[THC1]	138	25.00
>	L[THC1] tel	6
RC[CLU_3586]		618	Dist (km)
>	L[3122302159406]	326	1.65
>	L[3122302206323]	77	0.96
>	L[3122302159856]	61	1.57
>	L[3122302159406] tel	16
>	L[3122302206323] tel	3
>	L[3122302159856] tel	3
>	L[SHC1]	92	20.00
>	L[SHC1] tel	4
>	L[THC1]	30	25.00
>	L[THC1] tel	1
RC[CLU_3587]		1243	Dist (km)
>	L[3122302159473]	935	1.26
>	L[3122302159473] tel	46
>	L[SHC1]	186	20.00
>	L[SHC1] tel	9
>	L[THC1]	62	25.00
>	L[THC1] tel	3
RC[CLU_3588]		881	Dist (km)
>	L[3122302159473]	662	2.63
>	L[3122302159473] tel	33
>	L[SHC1]	132	20.00
>	L[SHC1] tel	6
>	L[THC1]	44	25.00
>	L[THC1] tel	2
RC[CLU_3589]		2896	Dist (km)
>	L[3122302159422]	1342	0.00
>	L[3122302159554]	900	3.32
>	L[3122302159554] tel	45
>	L[SHC1]	434	20.00
>	L[SHC1] tel	21
>	L[THC1]	144	25.00
>	L[THC1] tel	7
RC[CLU_3590]		2914	Dist (km)
>	L[3122300273600]	346	3.45
>	L[3122302206323]	1423	1.07
>	L[3122302159457]	421	3.45
>	L[3122300273600] tel	17
>	L[3122302206323] tel	71
>	L[3122302159457] tel	21
>	L[SHC1]	437	20.00
>	L[SHC1] tel	21
>	L[THC1]	145	25.00
>	L[THC1] tel	7
RC[CLU_3591]		2760	Dist (km)
>	L[3122302206323]	74	3.58
>	L[3122302159449]	2102	0.00
>	L[3122302206323] tel	3
>	L[SHC1]	414	20.00
>	L[SHC1] tel	20
>	L[THC1]	138	25.00
>	L[THC1] tel	6
RC[CLU_3592]		1678	Dist (km)
>	L[3122302206323]	1262	4.43
>	L[3122302206323] tel	63
>	L[SHC1]	251	20.00
>	L[SHC1] tel	12
>	L[THC1]	83	25.00
>	L[THC1] tel	4
RC[CLU_3593]		2854	Dist (km)
>	L[3122306017940]	2254	0.00
>	L[SHC1]	428	20.00
>	L[SHC1] tel	21
>	L[THC1]	142	25.00
>	L[THC1] tel	7
RC[CLU_3594]		2706	Dist (km)
>	L[3122303747719]	51	0.00
>	L[3122306223354]	2085	0.00
>	L[SHC1]	405	20.00
>	L[SHC1] tel	20
>	L[THC1]	135	25.00
>	L[THC1] tel	6
RC[CLU_3595]		1212	Dist (km)
>	L[3122307269161]	755	2.97
>	L[3122306223354]	156	2.00
>	L[3122307269161] tel	37
>	L[3122306223354] tel	7
>	L[SHC1]	181	20.00
>	L[SHC1] tel	9
>	L[THC1]	60	25.00
>	L[THC1] tel	3
RC[CLU_3596]		1253	Dist (km)
>	L[3122302159554]	942	4.08
>	L[3122302159554] tel	47
>	L[SHC1]	187	20.00
>	L[SHC1] tel	9
>	L[THC1]	62	25.00
>	L[THC1] tel	3
RC[CLU_3597]		429	Dist (km)
>	L[3122302206315]	322	0.77
>	L[3122302206315] tel	16
>	L[SHC1]	64	20.00
>	L[SHC1] tel	3
>	L[THC1]	21	25.00
>	L[THC1] tel	1
RC[CLU_3598]		2597	Dist (km)
>	L[3122302159678]	1953	0.87
>	L[3122302159678] tel	97
>	L[SHC1]	389	20.00
>	L[SHC1] tel	19
>	L[THC1]	129	25.00
>	L[THC1] tel	6
RC[CLU_3599]		410	Dist (km)
>	L[3122307269161]	308	1.32
>	L[3122307269161] tel	15
>	L[SHC1]	61	20.00
>	L[SHC1] tel	3
>	L[THC1]	20	25.00
>	L[THC1] tel	1
RC[CLU_3600]		1513	Dist (km)
>	L[3122307676875]	1138	0.60
>	L[3122307676875] tel	56
>	L[SHC1]	226	20.00
>	L[SHC1] tel	11
>	L[THC1]	75	25.00
>	L[THC1] tel	3
RC[CLU_3601]		2311	Dist (km)
>	L[3122302159589]	1738	1.07
>	L[3122302159589] tel	86
>	L[SHC1]	346	20.00
>	L[SHC1] tel	17
>	L[THC1]	115	25.00
>	L[THC1] tel	5
RC[CLU_3602]		1081	Dist (km)
>	L[3122302159562]	853	0.00
>	L[SHC1]	162	20.00
>	L[SHC1] tel	8
>	L[THC1]	54	25.00
>	L[THC1] tel	2
RC[CLU_3603]		2984	Dist (km)
>	L[3122302159473]	2245	3.10
>	L[3122302159473] tel	112
>	L[SHC1]	447	20.00
>	L[SHC1] tel	22
>	L[THC1]	149	25.00
>	L[THC1] tel	7
RC[CLU_3604]		2436	Dist (km)
>	L[3122302159562]	1832	4.84
>	L[3122302159562] tel	91
>	L[SHC1]	365	20.00
>	L[SHC1] tel	18
>	L[THC1]	121	25.00
>	L[THC1] tel	6
RC[CLU_3605]		942	Dist (km)
>	L[3122302159287]	942	0.00
RC[CLU_3606]		1223	Dist (km)
>	L[3122302159562]	920	1.16
>	L[3122302159562] tel	46
>	L[SHC1]	183	20.00
>	L[SHC1] tel	9
>	L[THC1]	61	25.00
>	L[THC1] tel	3
RC[CLU_3607]		65	Dist (km)
>	L[3122302159287]	61	4.15
>	L[3122302159287] tel	3
RC[CLU_3608]		2518	Dist (km)
>	L[3122302159562]	1894	0.68
>	L[3122302159562] tel	94
>	L[SHC1]	377	20.00
>	L[SHC1] tel	18
>	L[THC1]	125	25.00
>	L[THC1] tel	6
RC[CLU_4396]		497	Dist (km)
>	L[CLU_4396]	497	0.00
RC[CLU_4824]		1064	Dist (km)
>	L[3122302159392]	840	0.00
>	L[SHC1]	159	20.00
>	L[SHC1] tel	7
>	L[THC1]	53	25.00
>	L[THC1] tel	2
RC[CLU_8513]		0	Dist (km)
